run_id,configuration,model,node_count,target_tp,draft_tp,speculative_tokens,concurrency,repeat,request_id,prompt_id,started_at_utc,status_code,success,error,prompt_tokens,completion_tokens,ttft_s,latency_s,decode_s,request_output_tok_s
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,2,c16-r2-q10,1,2026-09-13T20:50:03.712863+00:00,200,True,,64,200,0.749574,21.769315,21.019742,9.187244
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,2,c16-r2-q14,5,2026-09-13T20:50:03.713963+00:00,200,True,,72,200,0.747854,22.575203,21.827349,8.859278
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,2,c16-r2-q16,7,2026-09-13T20:50:03.711704+00:00,200,True,,64,200,0.750641,22.787982,22.037341,8.776556
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,2,c16-r2-q8,7,2026-09-13T20:50:03.714388+00:00,200,True,,64,200,0.746871,22.88274,22.13587,8.740212
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,3,c16-r3-q3,2,2026-09-13T20:50:26.602359+00:00,200,True,,64,200,0.859393,16.455775,15.596382,12.153788
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,3,c16-r3-q11,2,2026-09-13T20:50:26.603147+00:00,200,True,,64,200,0.856541,16.456378,15.599836,12.153343
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,3,c16-r3-q1,0,2026-09-13T20:50:26.602226+00:00,200,True,,65,200,0.859301,19.343538,18.484237,10.33937
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,3,c16-r3-q2,1,2026-09-13T20:50:26.605997+00:00,200,True,,64,200,0.854118,20.540939,19.68682,9.736653
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,3,c16-r3-q4,3,2026-09-13T20:50:26.607161+00:00,200,True,,63,200,0.853087,20.774098,19.921011,9.627373
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,3,c16-r3-q10,1,2026-09-13T20:50:26.604515+00:00,200,True,,64,200,0.855935,20.985151,20.129216,9.530549
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,3,c16-r3-q12,3,2026-09-13T20:50:26.603234+00:00,200,True,,63,200,0.449225,20.987127,20.537902,9.529651
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,3,c16-r3-q14,5,2026-09-13T20:50:26.606693+00:00,200,True,,72,200,0.26866,20.984218,20.715558,9.530972
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,3,c16-r3-q13,4,2026-09-13T20:50:26.605896+00:00,200,True,,64,200,0.853963,21.400476,20.546513,9.345587
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,3,c16-r3-q15,6,2026-09-13T20:50:26.603510+00:00,200,True,,67,200,0.856268,21.616168,20.759899,9.252334
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,3,c16-r3-q9,0,2026-09-13T20:50:26.606602+00:00,200,True,,65,200,0.854317,21.824641,20.970324,9.163954
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,3,c16-r3-q5,4,2026-09-13T20:50:26.611167+00:00,200,True,,64,200,0.848764,21.820388,20.971624,9.16574
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,3,c16-r3-q6,5,2026-09-13T20:50:26.602495+00:00,200,True,,72,200,0.858073,22.139462,21.281389,9.033643
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,3,c16-r3-q7,6,2026-09-13T20:50:26.605384+00:00,200,True,,67,200,0.856236,22.251195,21.394959,8.988281
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,3,c16-r3-q8,7,2026-09-13T20:50:26.605264+00:00,200,True,,64,200,0.85539,22.448697,21.593307,8.909203
